Genes	N_G005	N_G006	N_G010	N_G012	N_G014	N_G016	N_G022	N_G036	N_G038	N_G039	N_G043	N_G044	N_G046	N_G055	N_G059	N_G061	N_G064	N_G066	N_G076	N_G079	N_G080	N_G084	N_G085	N_G091	N_G102	N_G116	N_G117
MRPL27	-0.2407	-0.2246	-0.2487	-0.1816	-0.3129	0.017	-0.1409	0.0382	-0.2299	-0.064	-0.2469	-0.1622	-0.121	-0.21	-0.2596	-0.1725	-0.3143	-0.187	-0.1895	-0.1693	-0.3494	-0.2742	-0.2533	-0.2865	-0.1521	-0.1224	-0.2109
MRPL28	-0.0814	-0.0372	-0.1666	-0.1366	0.0427	-0.285	-0.083	-0.1289	-0.1205	-0.0343	0.2179	-0.1001	-0.1741	-0.3255	-0.2568	-0.0556	-0.1676	-0.0739	-0.2467	-0.4737	-0.4322	-0.2493	-0.2075	-0.127	-0.1384	-0.1732	-0.1866
MRPL3	0.813625	0.826525	0.842825	0.808925	0.725925	0.775025	0.866925	1.039925	0.651525	0.655525	0.891925	0.588925	0.932025	1.016125	0.923125	0.876525	0.981425	0.728925	0.847225	0.800625	0.726225	0.894825	0.831625	0.745525	0.849425	1.120125	0.881825
MRPL30	0.690463636	0.663763636	1.004663636	0.635763636	0.315363636	0.479763636	0.651463636	0.491763636	0.896263636	0.546863636	0.498463636	0.750563636	0.600763636	0.722063636	0.767263636	0.483163636	0.642163636	0.403063636	0.807263636	0.636663636	0.556063636	0.739063636	0.789263636	0.508263636	0.555363636	0.706563636	0.604063636
MRPL32	0.2971	0.3562	0.6432	0.3883	0.24	0.4607	0.4709	0.5006	0.5583	0.5137	0.3774	0.3286	0.4569	0.4729	0.5356	0.2523	0.2269	0.265	0.3807	0.4653	0.4527	0.4133	0.3443	0.3994	0.3057	0.3809	0.4538
MRPL33	-0.01545	-0.09165	-0.19915	-0.04965	-0.10805	0.05725	-0.06415	0.46615	0.07435	0.09595	0.09975	-0.14375	-0.19175	-0.03965	0.11665	0.07765	0.07175	-0.12165	0.02655	0.14565	-0.03345	0.08305	0.02035	-0.06045	0.04075	0.16155	-0.14655
MRPL34	-0.22665	-0.27415	-0.38825	-0.11475	-0.41735	-0.28465	-0.32675	-0.48195	-0.43685	-0.29005	-0.38945	-0.35175	-0.04795	-0.29445	-0.21885	-0.35985	-0.34885	-0.23995	-0.20055	-0.19005	-0.44885	-0.26735	-0.45795	-0.27275	-0.21555	-0.44585	-0.47585
MRPL35	0.43195	0.45325	0.48815	0.26025	0.43615	0.45625	0.51185	0.81105	0.42995	0.31325	0.45155	0.39585	0.23835	0.32025	0.34765	0.37575	0.41575	0.49565	0.57605	0.60315	0.37055	0.52815	0.48015	0.49565	0.50595	0.33455	0.40235
MRPL36	0.0176	0.2156	0.4513	0.3043	0.0895	0.2571	0.2534	0.1089	0.3925	0.3897	0.1289	0.3885	0.2828	0.126	0.1734	0.3168	0.2024	0.1956	0.3251	0.3063	0.2227	0.3365	0.2402	0.2567	0.3394	0.6095	0.0761
MRPL37	0.5612	0.6243	0.8722	0.7816	0.6345	0.5942	0.5747	0.4325	0.6498	0.4128	0.4907	0.4938	0.5893	0.7488	0.7794	0.624	0.6269	0.3988	0.5263	0.814	0.7163	0.6051	0.5594	0.5023	0.5311	0.5649	0.5115
MRPL38	-0.081127273	-0.107927273	-0.135527273	-0.007427273	-0.092727273	-0.076127273	0.020072727	0.184372727	0.184072727	0.122072727	-0.106227273	-0.082327273	-0.079327273	-0.175327273	-0.153327273	-0.091327273	-0.181027273	-0.030327273	-0.068627273	0.215672727	0.006872727	-0.095827273	-0.002927273	-0.049127273	0.114872727	-0.042127273	-0.070527273
MRPL39	0.8981	0.8867	0.9554	0.9046	0.8788	0.5917	0.8619	1.046	1.0029	0.6744	0.8809	0.9621	0.5555	1.286	0.8851	0.9383	1.011	0.8857	0.8174	1.1617	1.1359	0.9827	1.1223	0.8691	0.8539	0.8321	0.6698
MRPL4	0.2158	0.3996	0.2968	0.4521	0.2171	0.2973	0.335	-0.1382	0.4507	0.2527	0.0878	0.2702	0.541	0.4271	0.4627	0.4344	0.3617	0.4231	0.4742	0.2787	0.1343	0.4041	0.1689	0.3656	0.4551	0.3849	0.317
MRPL40	0.1762125	0.1070125	-0.2124875	0.2537125	-0.2304875	0.0285125	-0.0769875	0.0830125	0.1430125	-0.1464875	-0.1127875	0.1530125	0.2890125	0.1012125	0.2721125	0.0525125	0.0921125	0.1862125	0.2915125	0.1763125	0.0302125	0.2065125	-0.2835875	0.1005125	0.2498125	0.3134125	0.2309125
MRPL41	-1.5963375	-1.3320375	-0.6092375	-1.0589375	-1.3316375	-1.0363375	-1.1347375	-1.0538375	-0.9749375	-0.8660375	-1.1347375	-1.1741375	-1.4565375	-1.4211375	-1.2846375	-0.8168375	-0.8887375	-0.8342375	-0.8906375	-0.7893375	-1.0836375	-1.0013375	-1.3507375	-1.1807375	-0.8612375	-0.8388375	-1.1687375
MRPL42	2.30695	2.17265	2.33505	2.31985	2.28185	2.43855	2.41775	2.30375	2.32335	2.26635	2.42985	2.09745	2.24785	2.39045	2.25685	2.23835	2.21835	2.29445	2.24075	2.30655	2.18275	2.37665	2.20075	2.24525	2.18505	2.21795	2.23805
MRPL43	-0.1702	-0.4132	-0.3326	-0.1937	-0.1969	-0.368	-0.4212	0.121	-0.2872	-0.4747	-0.0432	0.4252	-0.4688	-0.2131	-0.3345	0.2289	0.2507	-0.3495	-0.365	0.611	0.1999	-0.419	-0.2686	-0.5638	-0.1802	-0.3695	-0.2175
MRPL44	0.4084	0.5544	0.5596	0.4866	0.3818	0.421	0.5294	0.5368	0.565	0.6337	0.4879	0.4593	0.364	0.4971	0.5113	0.3866	0.4571	0.3615	0.4772	0.437	0.4115	0.4913	0.5291	0.4546	0.5349	0.6038	0.4612
MRPL45	0.66215	0.55755	0.50785	0.52735	0.30005	0.24835	0.48785	0.58125	0.57125	0.32215	0.53215	0.58835	0.52885	0.46215	0.43545	0.51215	0.54355	0.55645	0.55985	0.39825	0.57645	0.56775	0.72795	0.49555	0.60385	0.34125	0.56665
MRPL46	0.1152375	0.1329375	0.1737375	0.0439375	0.0416375	0.0542375	0.1725375	0.1512375	0.1411375	0.0968375	0.1029375	0.1543375	-0.1152625	0.0162375	0.0531375	-0.1395625	-0.1160625	0.1560375	0.1868375	0.1913375	0.2138375	0.1702375	0.0271375	0.0116375	0.2219375	0.0673375	0.1569375
MRPL47	0.155209091	0.143509091	0.151209091	0.417709091	0.185109091	0.163309091	0.208209091	0.432509091	0.146909091	0.121509091	0.258809091	0.080709091	0.183609091	0.446709091	0.231709091	0.257109091	0.318309091	-0.011190909	0.193509091	0.623109091	0.316909091	0.279009091	0.146809091	0.065309091	0.152809091	0.327009091	0.177609091
MRPL48	0.142	-0.1768	-0.2272	0.0624	-0.0639	-0.1293	-0.028	0.0673	-0.0537	-0.1228	-0.0482	-0.3626	-0.1315	0.1477	-0.0268	0.2273	0.2257	-0.1308	-0.1879	0.1764	-0.1821	0.0134	0.0016	-0.2814	-0.1668	0.1243	-0.1386
MRPL49	0.452327273	0.765627273	0.796627273	0.898827273	0.908927273	0.806027273	0.856527273	0.536527273	0.945927273	0.913427273	0.879927273	0.976427273	0.780627273	0.912427273	1.008627273	1.067227273	0.891927273	0.858427273	0.669527273	0.740727273	0.812227273	0.887027273	0.745227273	0.901727273	0.822927273	1.042327273	0.861527273
MRPL50	1.5932	1.3241	1.2813	1.1908	1.152	1.3799	1.3989	1.6452	1.5342	1.005	1.5695	1.3156	1.0821	1.0824	1.0305	1.4622	1.6216	1.5915	1.2978	1.4415	1.4644	1.653	1.4484	1.3447	1.4184	1.1324	1.4008
MRPL51	0.5487	0.4942	0.7061	0.4742	0.5754	0.704	0.656	0.577	0.8515	0.5469	0.5042	0.5933	0.4948	0.4486	0.5458	0.6264	0.5116	0.5205	0.471	0.5772	0.6464	0.5943	0.4652	0.597	0.6335	0.7162	0.5268
MRPL52	-0.165407692	-0.091107692	0.163792308	-0.003907692	-0.056307692	-0.093107692	-0.066407692	0.170592308	0.271592308	-0.136807692	-0.187307692	0.148192308	-0.122107692	0.246092308	0.090992308	-0.027807692	0.023092308	0.049592308	0.146992308	0.038592308	0.131892308	0.040392308	-0.090207692	0.080292308	-0.142407692	-0.040807692	-0.040407692
MRPL53	0.27485	0.20115	0.30125	0.36465	0.41975	0.30965	0.35135	0.36765	0.33155	0.30245	0.31325	0.28505	0.15925	0.18295	0.42185	0.44555	0.42735	0.22965	0.18345	0.27205	0.26575	0.17165	0.39055	0.15905	0.37935	0.34055	0.42865
MRPL54	-0.4211	-0.4841	-0.5202	-0.3787	-0.5948	-0.5143	-0.5688	-0.6263	-0.3982	-0.4655	-0.603	-0.6024	-0.2685	-0.3029	-0.4395	-0.489	-0.6195	-0.3656	-0.3485	-0.5157	-0.6487	-0.3782	-0.7248	-0.4478	-0.3257	-0.5586	-0.5823
MRPL55	-1.232546154	-1.217646154	-1.571146154	-1.135446154	-1.345746154	-1.111546154	-1.223646154	-1.352746154	-1.203446154	-1.325046154	-1.428346154	-1.185246154	-1.238046154	-1.220246154	-1.222246154	-1.249646154	-1.278646154	-1.247146154	-1.284046154	-1.131746154	-1.152746154	-1.194846154	-1.270046154	-1.255146154	-1.062846154	-1.286246154	-1.228446154
MRPL9	0.6415	0.4248	0.9236	0.5321	0.3637	0.4313	0.4187	0.6183	0.4782	0.496	0.407	0.4473	0.3035	0.6515	0.4295	0.4599	0.4864	0.3518	0.3938	0.6255	0.5896	0.4769	0.519	0.3607	0.6081	0.5862	0.41
MRPS10	0.853392308	0.727092308	0.827592308	0.767292308	0.841092308	0.762492308	0.847992308	0.923792308	0.879592308	0.687292308	0.931092308	0.805892308	0.760792308	1.019692308	0.763692308	0.924892308	0.915792308	0.766692308	0.750892308	0.749292308	0.628792308	0.864892308	0.943792308	0.679092308	0.930392308	0.890392308	0.784392308
MRPS11	-0.302925	-0.305425	-0.330125	-0.306925	-0.337125	-0.316725	-0.307025	-0.236425	-0.211725	-0.321325	-0.512725	-0.309525	-0.388925	-0.374925	-0.324725	-0.454825	-0.491125	-0.442625	-0.272725	-0.116925	-0.069425	-0.378425	-0.401825	-0.382525	-0.122625	-0.296325	-0.268625
MRPS12	0.0519	0.1964	0.072	0.0663	-0.2614	-0.022	0.0804	-0.296	-0.0205	0.035	-0.1766	0.0526	0.2818	0.0925	-0.0165	-0.0658	-0.0842	0.1489	0.2782	0.2305	-0.1082	0.1992	-0.116	0.1008	0.0497	0.1928	-0.043
MRPS14	1.0114	0.9289	0.6881	0.8938	0.8216	0.8364	0.8798	1.2183	1.0066	0.9117	0.7293	0.717	0.8517	0.8637	0.8509	1.0562	1.0592	0.8438	1.0279	0.9296	0.8788	1.1069	0.8461	0.8739	1.0674	0.9507	0.8634
MRPS15	0.2843625	0.3746625	0.2290625	0.7128625	0.4525625	0.4585625	0.3670625	0.1879625	0.3801625	0.3457625	0.2693625	0.3933625	0.6299625	0.5604625	0.6328625	0.3145625	0.3967625	0.3307625	0.4483625	0.5709625	0.4587625	0.4944625	0.3485625	0.3111625	0.2882625	0.4839625	0.3495625
MRPS16	0.642111765	0.703911765	0.826511765	1.111011765	0.809011765	0.684811765	0.751311765	0.956411765	0.892811765	0.815111765	0.795611765	0.805711765	0.787711765	0.890111765	1.032411765	1.097611765	1.153311765	0.621811765	0.731211765	1.186311765	0.823211765	0.603111765	0.681811765	0.493811765	0.819611765	1.002011765	0.740511765
MRPS17	0.3253	0.6832	0.8504	1.5938	0.6048	0.8012	2.0617	0.7234	0.9356	2.7788	0.5321	0.7279	0.9214	0.8023	0.891	0.6018	0.6344	0.4257	0.7561	0.9212	0.8755	0.718	0.7038	0.6578	0.8963	0.9178	0.7114
MRPS18A	0.114792308	0.034692308	0.178892308	0.007392308	0.028792308	0.009692308	0.273992308	0.135492308	0.281192308	0.242092308	0.104692308	0.074792308	-0.022507692	-0.078807692	-0.093407692	0.143492308	0.035192308	0.120392308	-0.051407692	0.117092308	-0.079907692	0.062792308	0.112592308	0.119992308	0.185792308	0.120492308	0.018092308
MRPS18B	0.5258	0.2059	0.2157	0.2394	0.0806	0.0955	0.2192	0.4073	0.4303	0.1931	0.2705	0.3975	0.0924	0.3528	0.1209	0.2431	0.1962	0.2175	0.2659	0.5321	0.0172	0.1679	0.4932	-0.0255	0.3318	0.1398	0.1044
MRPS18C	-0.1163	-0.0933	-0.0939	-0.1599	0.079	-0.1133	-0.0567	0.1447	-0.2006	-0.1194	0.2598	-0.2943	-0.1732	-0.21	-0.222	-0.3278	-0.4373	-0.1574	-0.1375	-0.3913	-0.5141	-0.1902	-0.3754	0.0226	-0.1045	-0.1555	-0.2265
MRPS2	0.3498	0.4347	0.5933	0.3441	0.35	0.4175	0.4348	0.4571	0.4897	0.3968	0.4357	0.6504	0.3125	0.312	0.2329	0.3985	0.4304	0.4508	0.5286	0.5696	0.2807	0.3831	0.3333	0.3906	0.4309	0.5291	0.1538
MRPS21	-0.739507692	-0.828907692	-0.529707692	-0.788807692	-0.775907692	-0.684807692	-0.794807692	-0.271707692	-0.738707692	-0.911007692	-0.588907692	-0.742907692	-0.910607692	-0.762207692	-0.891707692	-0.709807692	-0.647407692	-0.764007692	-0.620907692	-0.418407692	-0.649507692	-0.627607692	-0.699207692	-0.694507692	-0.563607692	-0.827507692	-0.767007692
MRPS22	0.1423	0.1644	0.1658	0.118	0.05	0.0572	0.1934	0.4677	0.1812	0.0495	0.2367	0.002	0.1801	0.3164	0.1256	0.2372	0.3603	0.1222	0.2213	0.4856	0.186	0.2357	0.1629	0.068	0.157	0.2037	0.1958
MRPS23	0.6592	0.5777	0.712	0.7281	0.5468	0.7628	0.787	0.9999	0.7214	0.8855	0.7552	0.5735	0.7346	0.606	0.6516	0.7052	0.5903	0.7165	0.6288	0.8502	0.675	0.6965	0.6329	0.6407	0.7712	0.8924	0.7296
MRPS24	-0.1219	0.0276	0.1873	-0.0616	-0.0495	0.1179	0.0708	0.0696	0.2177	0.0734	-0.0709	0.0212	0.1113	0.1853	0.0775	0.0246	-0.0093	0.092	0.1043	0.232	0.2497	0.0244	-0.0489	0.0149	0.2226	0.1053	0.224
MRPS25	-0.6078	-0.3761	-0.4528	-0.5373	-0.4938	-0.5099	-0.5073	-0.2071	-0.2513	-0.4564	-0.5572	-0.3465	-0.2923	-0.5002	-0.5894	-0.1636	-0.128	-0.3976	-0.2962	-0.1969	-0.5189	-0.3937	-0.4036	-0.4769	-0.7173	-0.4361	-0.5149
MRPS26	-0.4702	-0.5898	-0.796	-0.3878	-0.6783	-0.5461	-0.516	-0.3316	-0.3883	-0.8071	-0.616	-0.6169	-0.5986	-0.7157	-0.4888	-0.4663	-0.4334	-0.4526	-0.5351	-0.2457	-0.5413	-0.3636	-0.4872	-0.5102	-0.4042	-0.5903	-0.3716
MRPS27	-0.0464	-0.0101	0.064	-0.0207	-0.1162	-0.0553	-0.1385	0.0494	0.174	-0.2308	-0.0184	-0.0745	0.1586	-0.04	-0.2186	-1.00E-04	-0.063	-0.0394	-0.0131	1.00E-04	-0.0088	0.0132	0.1519	-0.1247	0.0886	0.0706	-0.0277
MRPS30	0.956075	1.358675	1.341475	0.958275	0.581675	1.049275	0.806175	1.097575	1.734875	0.943675	1.248875	0.867175	1.369075	1.235775	1.558975	1.159375	1.457875	1.028375	1.550975	0.764575	1.404775	1.282175	1.302275	1.295075	1.106975	1.551975	1.156875
MRPS31	0.2547	0.3677	-0.1841	0.1054	0.0511	0.1735	0.0951	0.2901	0.1533	0.0194	0.1943	0.1993	0.039	0.3442	0.0407	0.277	0.2933	0.2679	0.3265	0.2206	0.3142	0.2333	0.1519	0.2305	0.4688	0.0608	0.0672
MRPS33	0.5033	0.0473	0.4194	0.2584	0.3109	0.4329	0.3355	0.3735	0.4672	0.3484	0.2058	0.3809	0.3983	0.1156	0.5279	0.3736	0.3615	0.2384	0.2694	0.0977	0.2505	0.1293	0.3712	0.0978	0.1141	0.6372	0.2868
MRPS34	0.6203	0.6959	0.5672	0.7828	0.6011	0.5031	0.6904	0.5489	0.7249	0.7338	0.5306	0.6321	0.7428	0.5615	0.8072	0.6774	0.6603	0.6738	0.5592	0.6095	0.6543	0.6225	0.5245	0.5814	0.7858	0.8816	0.6722
MRPS35	0.05525	-0.05805	-0.03745	-0.19135	-0.24335	-0.01965	-0.09735	0.02075	-0.29095	-0.24065	-0.25125	-0.17415	-0.25955	-0.09465	-0.17755	-0.21755	-0.15805	-0.01275	-0.02625	-0.02975	0.04815	-0.01455	-0.17965	-0.15535	-0.06905	-0.00295	-0.15075
MRPS36	-0.4804	-0.2489	-0.2138	-0.1628	-0.416	-0.3731	-0.2494	-0.0475	-0.1141	-0.3595	-0.2673	-0.1806	-0.2406	-0.292	-0.2824	-0.2284	-0.1589	-0.2998	-0.174	-0.2352	-0.2639	-0.1251	-0.2708	-0.383	-0.1147	-0.0809	-0.2656
MRPS5	0.5477625	0.7267625	0.6553625	0.7153625	0.6300625	0.5653625	0.6999625	0.3962625	0.6227625	0.6410625	0.6744625	0.6170625	0.5589625	0.7104625	0.7449625	0.7141625	0.6261625	0.6800625	0.7615625	0.7342625	0.6632625	0.8076625	0.5996625	0.7217625	0.7504625	0.7080625	0.6474625
MRPS6	-0.11865	0.21865	0.01355	0.26425	0.13635	-0.03035	0.13055	-0.02445	0.36015	0.12605	0.18415	1.21315	0.86455	0.55115	0.49295	0.33125	0.15885	0.11465	0.21425	0.20705	0.59465	0.04905	0.33415	0.33305	0.78435	0.38495	0.04555
MRPS7	0.134545455	0.268445455	0.328345455	0.284545455	0.357245455	0.206245455	0.297945455	0.375145455	0.537645455	0.300645455	0.187345455	0.023545455	0.228045455	0.024845455	0.124445455	0.336245455	0.242645455	0.334945455	0.242545455	0.541145455	0.372445455	0.298145455	0.125045455	0.322645455	0.399245455	0.425145455	0.339845455
MRPS9	-0.3085	-0.2568	-0.173	-0.3464	-0.3736	-0.222	-0.2675	-0.1928	-0.2783	-0.4139	-0.1489	-0.2629	-0.4209	-0.2232	-0.3698	-0.3238	-0.3749	-0.232	-0.2668	-0.2965	-0.2369	-0.2872	-0.1705	-0.2444	-0.2536	-0.3529	-0.3405
MRRF	1.7391625	1.7507625	2.0178625	1.6246625	1.7691625	1.7519625	1.7485625	2.2862625	1.7075625	1.7672625	1.9872625	1.9901625	1.8638625	1.9825625	1.5598625	2.0109625	2.0615625	1.6797625	1.8603625	2.0641625	1.7772625	1.7062625	1.8955625	1.7909625	1.8647625	2.0373625	1.5604625
MRS2L	1.4384	1.2452	1.4564	1.0051	1.2438	1.0241	1.243	1.2285	1.0363	1.2102	1.0982	1.2013	1.0451	1.0377	1.0724	1.1478	1.227	1.3117	0.9715	1.4382	1.0198	1.1935	1.48	1.1318	1.2616	1.3022	1.1359
MRVI1	-3.433575	-3.859275	-3.760275	-3.755775	-3.633075	-3.187575	-3.410675	-2.747275	-2.835575	-3.655775	-3.517875	-3.431475	-2.011675	-3.794075	-3.610175	-3.018275	-3.640375	-2.329875	-3.775775	-3.188475	-3.303475	-3.562875	-3.163575	-3.341575	-3.461175	-3.666475	-3.639275
MS4A1	1.316236364	0.795936364	1.620436364	1.390336364	1.204736364	1.760436364	1.607736364	1.216636364	1.526036364	1.394836364	1.854536364	1.081836364	1.462836364	1.893336364	1.619636364	1.172636364	0.733336364	1.485536364	0.994636364	1.629136364	0.807836364	1.227336364	1.202936364	1.091536364	1.244636364	1.516836364	1.405736364
MS4A12	-0.650233333	-0.672633333	-0.641733333	-0.642633333	-0.656833333	0.062266667	-0.639833333	-0.631633333	-0.660533333	-0.656233333	-0.613333333	-0.665433333	-0.654033333	0.007766667	-0.650633333	-0.651233333	-0.681033333	-0.651833333	-0.663633333	-0.648833333	-0.687533333	-0.666733333	-0.646933333	-0.665733333	-0.663533333	-0.663033333	-0.672233333
MS4A2	0.176	-0.026	0.1856	0.0753	0.1564	0.172	0.1908	-0.1192	0.1682	0.1523	0.216	0.1419	0.1285	0.108	0.1652	-0.1447	-0.1319	0.215	0.0237	0.037	-0.2058	0.1886	0.1678	0.031	-0.0727	0.1598	0.1395
MS4A3	1.90285	1.90995	1.82725	1.78405	1.81025	1.55435	2.05275	1.74935	1.93965	1.68785	1.89605	1.91185	1.68445	1.48085	1.88505	1.50785	1.58515	1.84635	1.94175	1.86775	1.58255	2.04645	1.62725	1.59015	1.73795	1.64775	1.73305
MS4A4A	-0.209433333	-0.117433333	-0.052033333	-0.295733333	0.046266667	-0.614933333	-0.131633333	-0.384733333	-0.100733333	0.033766667	-0.209633333	0.283366667	-0.366333333	-0.175633333	-0.306333333	0.101966667	-0.392333333	-0.221233333	-0.163033333	-0.149333333	0.480666667	0.187366667	-0.403833333	0.341866667	0.000866667	-0.368033333	0.354766667
MS4A5	-0.452233333	-0.446733333	-0.241833333	-0.245833333	-0.259733333	-0.228433333	-0.237733333	0.044166667	-0.260033333	-0.258133333	-0.210133333	-0.269733333	-0.415433333	-0.263133333	-0.252933333	-0.029533333	-0.195433333	-0.238533333	-0.256633333	-0.253933333	-0.286133333	-0.259133333	-0.249133333	-0.270933333	-0.262333333	-0.262433333	-0.273733333
MS4A6A	-0.709176923	-0.911176923	-0.683876923	-0.674976923	-0.561376923	-0.858276923	-0.733776923	-0.507976923	-0.533276923	-0.817876923	-0.719176923	-0.758476923	-0.658976923	-0.783076923	-0.781376923	-0.986576923	-0.920476923	-0.735976923	-0.888276923	-0.779076923	-1.140976923	-0.495176923	-0.891376923	-0.606976923	-0.682876923	-0.833076923	-0.980276923
MS4A6E	-0.2641	-0.2826	-0.2558	-0.259	-0.2729	-0.2408	-0.2521	-0.2443	-0.2741	-0.0381	-0.2247	-0.1215	-0.2722	-0.2724	-0.2663	-0.2656	-0.2932	-0.2555	-0.2722	-0.2667	0.0147	-0.2749	-0.2625	-0.1043	-0.2765	-0.2764	-0.2872
MS4A7	-2.989564286	-3.026064286	-2.970364286	-3.034064286	-2.895864286	-2.808964286	-2.633764286	-3.012264286	-2.858864286	-2.747264286	-2.767464286	-2.886664286	-3.060564286	-1.211464286	-2.850264286	-2.886464286	-2.655264286	-3.022064286	-2.990164286	-2.583564286	-2.770164286	-2.867764286	-2.573064286	-2.817664286	-2.901864286	-2.853964286	-2.797064286
MS4A8B	-1.5162	-1.5304	-1.5076	-1.5136	-1.461	-1.4983	-1.5029	-1.4953	-1.5258	-1.6456	-1.475	-1.975	-1.5288	-1.5402	-1.5202	-1.5183	-1.5439	-1.4977	-1.5189	-1.5228	-1.5389	-1.5209	-1.5165	-1.2887	-1.528	-1.5283	-1.665
MSC	-0.4985625	-0.5483625	-0.4881625	-0.5664625	-0.5355625	0.2457375	-0.5105625	-0.5107625	-0.5401625	0.5747375	-0.5555625	-0.5798625	-0.6338625	-0.1687625	-0.5831625	-0.2423625	-0.7413625	-0.5958625	-0.3484625	-0.5414625	-0.6925625	-0.4763625	-0.6473625	-0.4518625	-0.7533625	-0.2542625	-0.6395625
MSH2	0.888125	1.087725	1.085125	1.033025	1.083925	0.970125	1.144225	1.201625	1.125325	0.836225	1.357225	0.776725	0.750525	1.003425	0.956825	1.209725	1.307425	0.930725	0.922225	1.031725	1.136325	1.127525	1.186625	1.023525	0.980725	0.809525	1.081125
MSH3	0.5018375	0.3918375	0.5995375	0.6078375	0.6004375	0.7849375	0.5891375	0.6521375	0.5164375	0.6444375	0.9029375	0.5806375	0.6275375	0.6886375	0.5884375	0.5184375	0.5092375	0.5260375	0.5027375	0.5786375	0.4808375	0.6144375	0.5495375	0.4473375	0.4428375	0.6054375	0.5382375
MSH4	-0.2288	-0.2484	-0.2206	-0.223	-0.0149	-0.2041	-0.2173	-0.2095	-0.239	0.0384	-0.4109	-0.0228	-0.2357	-0.2327	-0.2825	-0.2302	-0.2585	-0.2917	-0.1231	-0.2304	-0.1435	-0.1996	-0.2267	-0.1482	-0.2519	-0.2412	-0.2595
MSH6	1.5609	1.7297	1.7358	1.6854	1.8182	1.7509	1.7595	1.8956	1.7835	1.578	2.0144	1.3362	1.4758	1.5576	1.7314	1.8961	1.9404	1.4961	1.6627	1.7101	1.7191	1.729	1.9658	1.6839	1.3922	1.6691	1.807
MSI1	0.015766667	0.008066667	0.039666667	0.048666667	0.085966667	-0.281333333	-0.166633333	-0.149233333	0.331766667	-0.169833333	-0.096533333	0.050866667	0.179766667	-0.020533333	-0.279433333	0.166066667	0.001066667	-0.019333333	-0.009533333	-0.129433333	0.082766667	-0.330733333	0.144066667	0.009166667	-0.031833333	-0.065733333	-0.112133333
MSI2	-0.2535375	-0.4354375	0.5892625	-0.1494375	0.0123625	-0.9632375	-0.1487375	0.2412625	0.0427625	0.2460625	0.0329625	0.0201625	-0.0807375	-0.4842375	0.1055625	-0.0658375	-0.0743375	-0.5006375	-0.1112375	0.4239625	-0.3732375	-0.4309375	-0.4488375	-0.1786375	-0.4284375	0.0228625	-0.2008375
MSL-1	0.1611	-0.1276	0.1196	-0.1826	-0.0025	0.1239	-0.1183	-0.1325	-0.0056	-0.1772	0.1603	-0.0796	-0.114	-0.1941	-0.0197	0.0367	-0.1119	-0.1079	-0.0945	0.113	0.1092	-0.0951	0.2511	-0.0694	-0.1079	-0.3014	-0.2011
MSL2L1	0.5362	0.6136	0.5606	0.4343	0.6541	0.6201	0.6426	0.4262	0.602	0.4067	0.6239	0.4046	0.4848	0.7097	0.4308	0.6107	0.7615	0.5037	0.6174	0.65	0.6777	0.5661	0.7126	0.433	0.5214	0.4017	0.5717
MSL3L1	-0.133369231	0.083130769	-0.011469231	0.223430769	0.110030769	0.319130769	0.017830769	0.220730769	0.287130769	0.080330769	-0.013769231	0.054730769	0.371630769	0.265330769	0.515930769	-0.160369231	-0.040569231	-0.215269231	0.050530769	0.511230769	0.407930769	-0.050469231	0.145530769	0.053330769	-0.132569231	0.275130769	0.022430769
MSLN	0.491225	0.593925	0.495625	0.478025	0.947625	0.188725	0.600425	0.453125	0.618525	0.884525	1.090325	0.659825	0.418325	0.333025	0.456125	0.794725	0.299125	0.601525	0.570425	0.487325	0.884025	0.616325	0.418325	1.076425	0.364625	0.327725	0.792625
MSMB	1.60025	1.47075	1.42635	1.35315	1.51705	1.21525	1.60255	1.54555	1.73265	1.25115	1.47835	1.34595	1.35405	1.25365	1.40535	1.12685	1.22375	1.47925	1.67705	1.53565	1.55765	1.59225	1.24545	1.65255	1.37365	1.23165	1.31525
MSN	1.16785	1.63025	1.79065	2.01865	1.65465	1.42615	1.55315	1.10515	1.94905	1.90925	1.23085	1.99915	1.90035	2.21475	1.79205	1.54075	1.57265	1.25815	1.70065	1.86575	1.59775	1.74165	1.38545	1.55125	1.46535	1.91315	1.35525
MSR1	-1.264190909	-1.289890909	-1.254090909	-1.252590909	-1.267090909	-0.660290909	-1.255990909	-0.438590909	-1.273690909	-0.419090909	-0.523190909	-1.445990909	-1.261290909	-1.237890909	-1.260690909	-1.263390909	-1.295890909	-0.533490909	-1.283490909	-1.257490909	-1.300890909	-1.287690909	-1.441290909	-1.453290909	-1.279490909	-1.276390909	-1.285990909
MSRA	-1.0581	-1.0732	-0.8108	-1.1199	-0.7491	-1.1895	-0.9735	-0.6563	-0.8937	-0.9682	-1.0092	-0.9644	-0.8685	-0.5652	-1.283	-0.9521	-0.969	-1.2041	-0.9963	-0.7552	-0.866	-1.2801	-0.9978	-0.9262	-1.2174	-0.8872	-1.0738
MSRB2	-1.0045	-1.2444	-0.8938	-0.9581	-1.1862	-0.7446	-1.2404	-0.7395	-1.1156	-1.0827	-1.1799	-0.7084	-0.8146	-1.1637	-0.7305	-1.1539	-1.2823	-1.1303	-1.3023	-1.0665	-0.5783	-1.5946	-1.2086	-1.3942	-1.0636	-0.8669	-1.2701
